,bestFit,LB,UB
MDH,3.5454468449040997,2.6537184905046383,5.667175191151392
GPD,0.03976823509091963,0.0365370659897824,0.04442857514063678
LDH,31.32973136,31.32973136,31.32973136
SSE,0.0005617738110827193,,
