,bestFit,LB,UB
MDH,0.40025182888699623,0.3602327112221067,0.45010706902905123
GPD,0.24410280072627794,0.0651085478402708,0.39623607205904443
LDH,0.6920563842859897,0.2782313456479071,1.3203313739248048
SSE,0.0006515264347756968,,
