Time,L_malate,UL_malate,L_g3p,UL_g3p,L_lac,UL_lac,L_ga3p,UL_ga3p
0,0,100,0,100,0,100,0,100
0,0,100,0,100,0,100,0,100
0,0,100,0,100,0,100,0,100
2,4.77102692,95.22897308,12.03403674,87.96596326,2.193756501,97.8062435,20.6710908,79.3289092
2,4.957866545,95.04213345,11.748808,88.251192,2.251378645,97.74862136,21.70382808,78.29617192
2,6.37926497,93.62073503,15.72514045,84.27485955,3.825784279,96.17421572,23.22780124,76.77219876
5,9.194419968,90.80558003,23.85541011,76.14458989,4.126143264,95.87385674,28.72895733,71.27104267
5,9.021441463,90.97855854,22.61504989,77.38495011,4.628788998,95.371211,27.11470211,72.88529789
5,9.986412883,90.01358712,26.13111588,73.86888412,4.667452353,95.33254765,30.62394371,69.37605629
10,12.25516356,87.74483644,33.96778134,66.03221866,6.58910763,93.41089237,29.82486693,70.17513307
10,12.20716081,87.79283919,35.19437455,64.80562545,6.180257318,93.81974268,29.6404079,70.3595921
10,13.3237706,86.6762294,38.13552414,61.86447586,6.562720232,93.43727977,32.2861109,67.7138891
20,13.8067568,86.1932432,44.81909504,55.18090496,6.063793567,93.93620643,31.28992952,68.71007048
20,14.95511886,85.04488114,45.4419555,54.5580445,8.114005277,91.88599472,31.26469885,68.73530115
20,15.61591876,84.38408124,47.01061626,52.98938374,7.557265236,92.44273476,33.66468421,66.33531579
