,bestFit,LB,UB
MDH,0.7210626742727534,0.7165348783303619,1.0831698624357042
GPD,0.08932121474142359,0.0814409787447947,0.15306586255917548
LDH,8.149594763396886,6.994365307904408,9.447731106707458
SSE,0.0012575791903555137,,
