,bestFit,LB,UB
MDH,0.7352991052145139,0.6671740610491536,0.7974999824282571
GPD,0.6194703919549558,0.4163791860467171,0.6249900391217469
LDH,2.2251724320652246,1.775437031884028,2.8864145765725056
SSE,0.0017151853504772864,,
