Time,L_malate,UL_malate,L_g3p,UL_g3p,L_lac,UL_lac,L_ga3p,UL_ga3p
0,0,100,0,100,0,100,0,100
0,0,100,0,100,0,100,0,100
0,0,100,0,100,0,100,0,100
2,1.294417842,98.70558216,4.951625441,95.04837456,0.210167379,99.78983262,6.178122862,93.82187714
2,1.238953349,98.76104665,4.72700943,95.27299057,0.221945938,99.77805406,8.786366566,91.21363343
2,1.56895696,98.43104304,5.700315229,94.29968477,0.340481825,99.65951818,4.43403509,95.56596491
10,3.988199827,96.01180017,23.34069992,76.65930008,1.61342001,98.38657999,18.78771394,81.21228606
10,4.383134585,95.61686542,24.0224632,75.9775368,1.002389932,98.99761007,22.59110987,77.40889013
10,3.908693018,96.09130698,22.1786084,77.8213916,0.740011113,99.25998889,22.59110987,77.40889013
20,5.711794284,94.28820572,33.73453771,66.26546229,0.789767343,99.21023266,24.18656373,75.81343627
20,4.889884589,95.11011541,33.02774041,66.97225959,0.65489117,99.34510883,22.59110987,77.40889013
20,5.954556328,94.04544367,33.85052836,66.14947164,1.03078503,98.96921497,24.58192944,75.41807056
