,bestFit,LB,UB
MDH,0.28391579788147536,0.27012353690142066,0.30025740009768614
GPD,0.44830393427161114,0.44202514283640365,0.4591658343271182
LDH,0.14664965623327234,0.04327414208054825,0.19006877170273387
SSE,0.0004046805422437902,,
